customerId:ID(Customer),CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,labels:LABEL
AD089,创亿网络有限公司移动应用开发,林鹏,技术总监,陕西省慧市西夏李街d座 273215,楠市,贵州省,437029,中国,13837896730,15721400536.0,Customer
AK874,昊嘉信息有限公司区块链技术,秦丹丹,CEO,广东省莹县梁平李路D座 332586,雷市,天津市,614583,中国,18925549357,,Customer
AU710,巨奥传媒有限公司信息技术,魏梅,项目经理,重庆市燕市安次哈尔滨街x座 404214,辛集市,广东省,406351,中国,13243876050,,Customer
AW347,鸿睿思博传媒有限公司智能科技,刘伟,采购总监,浙江省柳州县安次李路G座 326030,武汉市,广西壮族自治区,986110,中国,18694883427,,Customer
AY876,精芯传媒有限公司物联网,王丽华,总经理,湖北省杭州市华龙宜都路G座 885926,武汉市,湖北省,378841,中国,13835102440,18567227342.0,Customer
BF338,天开网络有限公司金融科技,朱飞,CTO,广东省长沙市黄浦荆门街a座 399073,南宁市,台湾省,787111,中国,15733560580,18076660395.0,Customer
BI759,时空盒数字信息有限公司虚拟现实,孙辉,CEO,湖南省杭州市清河柳州路s座 365953,荣市,海南省,934862,中国,18713564115,15232511587.0,Customer
BN418,易动力网络有限公司移动应用开发,蒋雪梅,项目经理,海南省上海县西夏董路s座 290290,重庆市,陕西省,583718,中国,13975340720,,Customer
BP732,南康网络有限公司互联网服务,陶霞,技术总监,天津市潜江县沈河太原路A座 620715,敏市,福建省,403615,中国,18004046479,18226081204.0,Customer
BW289,海创网络有限公司生物科技,靳琴,运营总监,香港特别行政区雷市翔安赵街a座 431269,汕尾县,北京市,156019,中国,13468639292,15829166713.0,Customer
CA470,南康传媒有限公司生物科技,毕雪,采购经理,广西壮族自治区汕尾县兴山王街m座 315775,贵阳市,吉林省,458093,中国,13657425787,18844308870.0,Customer
CC657,昊嘉信息有限公司信息技术,张建军,项目经理,天津市伟县清城何路W座 931319,军县,辽宁省,815449,中国,13689691276,,Customer
CM245,万迅电脑信息有限公司科技公司,杨霞,CTO,澳门特别行政区沈阳市秀英向路j座 232419,洋县,宁夏回族自治区,487088,中国,13066779568,15801875979.0,Customer
CS287,和泰网络有限公司电子商务,陈淑英,采购经理,山东省台北市南湖刘路G座 282213,玲市,江苏省,453351,中国,18919424626,,Customer
CZ861,合联电子科技有限公司信息技术,陆瑞,采购总监,辽宁省琴县高明北京街p座 129411,荣市,重庆市,992062,中国,15804274546,13144195485.0,Customer
DH200,盟新传媒有限公司大数据分析,杨桂英,CTO,甘肃省红县涪城董路q座 904897,辽阳县,安徽省,428336,中国,18789786009,,Customer
DV182,艾提科信传媒有限公司网络安全,刘浩,采购总监,西藏自治区凤兰县朝阳林街U座 372877,桂荣市,山西省,386526,中国,18721190553,18765141051.0,Customer
DW607,银嘉网络有限公司云计算,许丹,CEO,四川省秀华县金平合山街C座 522476,杨县,江苏省,112129,中国,15919821532,15671584934.0,Customer
DX151,易动力信息有限公司物联网,宗秀荣,采购总监,辽宁省嘉禾县沈河六安街A座 771273,佛山县,贵州省,255410,中国,18852386006,,Customer
EA575,襄樊地球村信息有限公司物联网,纪建平,项目经理,云南省婷婷县高明王路e座 823469,丽娟市,四川省,603957,中国,13748848713,18268768352.0,Customer
EB652,凌云信息有限公司虚拟现实,萧雪梅,运营总监,香港特别行政区福州市城北太原街O座 751024,秀珍县,福建省,531973,中国,13616712751,,Customer
EI532,七喜传媒有限公司人工智能,宁璐,CTO,澳门特别行政区磊市门头沟柳州街Z座 473892,丽华县,西藏自治区,358472,中国,13740456158,15183594352.0,Customer
EK253,兰金电子科技有限公司区块链技术,张林,采购总监,吉林省齐齐哈尔县沈河深圳街p座 109059,南昌市,台湾省,701156,中国,18525553959,13074490334.0,Customer
EM821,泰麒麟信息有限公司人工智能,邹想,CEO,广东省想市新城曾路g座 582475,香港县,广西壮族自治区,358806,中国,13022700121,13858117155.0,Customer
EU335,济南亿次元网络有限公司科技公司,李瑞,采购总监,甘肃省红县白云巢湖路W座 992584,巢湖市,澳门特别行政区,219657,中国,18728353478,15078926279.0,Customer
FA862,方正科技网络有限公司云计算,杨洁,总经理,河北省乌鲁木齐县房山南路s座 690779,潮州县,福建省,956854,中国,15993089182,18011597772.0,Customer
FB488,方正科技科技有限公司互联网服务,魏秀华,项目经理,新疆维吾尔自治区莉县牧野王路L座 235814,宁德市,湖南省,575121,中国,15999324058,15042445455.0,Customer
FC418,网新恒天网络有限公司生物科技,罗萍,运营总监,山东省贵阳县上街蔡路H座 193448,秀珍县,湖南省,879752,中国,18782730835,15243115636.0,Customer
FJ947,浙大万朋信息有限公司生物科技,刘红霞,采购总监,海南省巢湖市徐汇成都街E座 239900,鑫市,内蒙古自治区,548115,中国,18248064214,15621566933.0,Customer
FN522,新宇龙信息科技有限公司电子商务,刘宇,CTO,宁夏回族自治区大冶市梁平鲁路j座 404484,磊县,辽宁省,988357,中国,15630621099,13774612041.0,Customer
GA851,明腾传媒有限公司金融科技,刘磊,采购总监,天津市阜新县城东吴街m座 830793,齐齐哈尔县,香港特别行政区,636849,中国,13530850654,15548142091.0,Customer
GC846,明腾科技有限公司区块链技术,张敏,CEO,河南省志强县城东杨路A座 853694,石家庄市,安徽省,450779,中国,15141736615,15064691817.0,Customer
