employeeId:ID(Employee),LastName,FirstName,Title,TitleOfCourtesy,BirthDate,HireDate,Address,City,Region,PostalCode,Country,HomePhone,Extension,Photo,Notes,ReportsTo,labels:LABEL
1,王,建平,销售代表,女士,1971-12-15,2022-10-21,台湾省娜市南长孙路O座 844333,涛市,江西省,798035,中国,18841663204,728,,谢谢还是销售政府.问题怎么提供发展工程.,,Employee
2,江,凤兰,区域经理,小姐,1970-09-15,2017-09-27,海南省龙县双滦佛山路G座 840637,柳州市,山东省,707363,中国,13539410379,336,,在线记者最新使用状态.说明之后其中一些来源游戏.然后的话最后为了专业.,1.0,Employee
3,王,斌,销售代表,先生,1978-06-07,2022-08-17,北京市六安县永川徐路o座 710258,郑州市,湖南省,121125,中国,13876979351,965,,公司城市电影选择.发生有限企业电话.,1.0,Employee
4,赵,晨,产品经理,教授,1975-12-13,2022-10-07,北京市建平市东城台北街F座 191849,沈阳市,甘肃省,719387,中国,18585302243,580,,进行人员名称全国是一处理通过.工具一个标准免费.,2.0,Employee
5,林,峰,CEO,教授,1981-04-26,2019-07-08,甘肃省杭州县南湖成都街p座 945831,沈阳市,重庆市,769361,中国,14526509768,532,,发表地方希望都是特别.最大一些价格不能准备世界如果.觉得不会回复有些评论.,,Employee
6,彭,桂荣,区域经理,小姐,1990-05-01,2022-03-29,贵州省鹏市南溪宁德街P座 356640,潮州市,澳门特别行政区,816825,中国,13611567037,924,,生活以上同时.手机类型信息那个内容选择而且汽车.责任发表情况重要一次出来直接.位置推荐已经问题我的一点中国发表.,2.0,Employee
7,张,刚,市场专员,教授,1966-09-28,2019-07-14,黑龙江省长沙市南溪宁德路n座 257602,深圳县,上海市,456413,中国,13016847865,899,,同时国家其实这些.推荐客户认为作为.,,Employee
8,王,倩,销售总监,女士,1987-09-19,2023-06-26,河南省红霞市梁平黄街d座 878258,建平县,宁夏回族自治区,366178,中国,13354206320,506,,电子支持作为但是中心人员.文件你们浏览类型次数次数.,6.0,Employee
9,王,雪,区域经理,小姐,1991-01-09,2020-06-03,河北省春梅县秀英郑街p座 155008,萍市,安徽省,291424,中国,15084210394,708,,更多评论时间的是内容.的话任何环境.关系这是联系发生查看.,7.0,Employee
10,林,磊,市场专员,小姐,1977-12-31,2019-08-18,浙江省宁市山亭耿路v座 245083,南宁县,黑龙江省,836333,中国,18863403527,165,,完全大学标准关系建设部门.谢谢很多朋友可以直接安全.建设游戏市场.,2.0,Employee
11,张,丹丹,销售代表,博士,1969-08-08,2019-06-13,陕西省西宁市白云宜都街H座 438763,刚市,山东省,659850,中国,13723254609,478,,人员一种来源以下.深圳那个今年知道.不是或者文件关于或者音乐由于对于.,7.0,Employee
12,曹,洁,销售代表,先生,1971-07-06,2023-04-21,云南省太原县南湖太原街e座 508852,健市,上海市,107501,中国,15591514426,866,,安全一起开发制作用户.技术联系所有出来方面点击作为.次数计划发布电影.,9.0,Employee
13,曲,桂花,CEO,女士,1978-02-20,2024-10-17,内蒙古自治区冬梅县花溪陈街x座 792523,淑兰县,澳门特别行政区,251545,中国,15260387757,190,,有限美国但是社区查看对于.看到一种客户建设一直法律.生活处理这样当然那些人民美国提供.,4.0,Employee
14,张,帅,客户经理,博士,1994-03-28,2019-07-27,吉林省西宁市清城巢湖街N座 793047,乌鲁木齐县,北京市,954169,中国,15262487998,202,,只是查看学生图片需要.经验位置位置决定要求免费.更新详细出现继续部分发展来自.,11.0,Employee
15,徐,艳,市场总监,先生,1987-11-20,2020-02-24,河北省桂英市西峰六安路J座 534737,北京县,台湾省,295596,中国,18784147846,907,,开始建设主题日本.威望名称一切支持免费进入产品.资源比较对于时间点击大小.,14.0,Employee
16,李,玉珍,客户经理,教授,2004-04-10,2021-08-06,四川省柳州市合川杨路N座 640384,旭市,江苏省,276570,中国,15094279731,565,,当前论坛文章大学业务.个人本站环境分析时间应该.不过只要管理.,13.0,Employee
17,陈,杨,市场经理,教授,1985-01-03,2025-12-23,广西壮族自治区乌鲁木齐市普陀董路C座 758989,南昌县,黑龙江省,724166,中国,13174216696,142,,情况商品说明数据还是简介因为.操作城市直接企业历史工具的话.,10.0,Employee
18,薛,洋,销售经理,博士,1999-01-14,2017-04-11,河北省小红市黄浦西安路q座 421951,福州市,山西省,896291,中国,15641237591,120,,这里报告国家正在女人国际.那些北京查看能够最后项目客户介绍.成为环境管理而且.,9.0,Employee
19,田,桂荣,区域经理,女士,1970-06-05,2018-11-23,湖南省长沙县江北关岭路M座 566930,大冶市,北京市,996362,中国,15916962795,626,,由于合作企业怎么服务直接地区.名称帮助中心作品合作评论学习.标准以上合作应用应用都是大小科技.,2.0,Employee
20,欧,娜,市场经理,教授,2001-02-17,2021-07-18,安徽省秀华县崇文北京路n座 366456,深圳县,江苏省,139264,中国,14569653775,954,,东西影响一直这些新闻网络.应该我们进入留言这个不是.显示以上由于特别地方.,3.0,Employee
