orderId:ID(Order),OrderDate,RequiredDate,ShippedDate,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,CustomerName,LastName,FirstName,ShipperName,labels:LABEL
1,2026-05-17 20:04:14,2026-05-26 20:04:14,2026-05-22 20:04:14,22.18,晖来计算机传媒有限公司云计算,广东省娟市孝南辽阳路I座 278094,郑州县,江苏省,370443,中国,晖来计算机传媒有限公司云计算,王,倩,圆通速递,Order
2,2025-01-31 11:01:01,2025-02-07 11:01:01,2025-02-01 11:01:01,113.86,恒聪百汇传媒有限公司虚拟现实,福建省兴城市高明邓街U座 898971,重庆市,河南省,796218,中国,恒聪百汇传媒有限公司虚拟现实,张,刚,德邦物流,Order
3,2025-11-07 01:38:54,2025-11-12 01:38:54,2025-11-10 01:38:54,214.81,南康传媒有限公司生物科技,广西壮族自治区汕尾县兴山王街m座 315775,贵阳市,吉林省,458093,中国,南康传媒有限公司生物科技,王,斌,申通快递,Order
4,2024-07-23 11:31:51,2024-08-02 11:31:51,2024-07-28 11:31:51,476.12,时空盒数字信息有限公司虚拟现实,湖南省杭州市清河柳州路s座 365953,荣市,海南省,934862,中国,时空盒数字信息有限公司虚拟现实,薛,洋,韵达快递,Order
5,2024-12-24 01:14:20,2025-01-04 01:14:20,2024-12-28 01:14:20,70.55,和泰网络有限公司电子商务,山东省台北市南湖刘路G座 282213,玲市,江苏省,453351,中国,和泰网络有限公司电子商务,林,峰,京东物流,Order
6,2024-11-28 05:20:17,2024-12-07 05:20:17,2024-12-02 05:20:17,259.85,泰麒麟信息有限公司人工智能,广东省想市新城曾路g座 582475,香港县,广西壮族自治区,358806,中国,泰麒麟信息有限公司人工智能,彭,桂荣,顺丰速运,Order
7,2024-11-10 10:20:03,2024-11-23 10:20:03,2024-11-14 10:20:03,153.85,银嘉科技有限公司云计算,北京市强县牧野惠州路G座 671226,重庆县,云南省,471017,中国,银嘉科技有限公司云计算,张,帅,德邦物流,Order
8,2024-07-29 21:30:47,2024-08-09 21:30:47,2024-07-31 21:30:47,28.32,创联世纪信息有限公司移动应用开发,云南省深圳县金平拉萨街l座 585241,福州县,四川省,101164,中国,创联世纪信息有限公司移动应用开发,赵,晨,百世快递,Order
9,2025-09-13 04:24:38,2025-09-16 04:24:38,,350.42,国讯科技有限公司金融科技,广东省俊县锡山海门路g座 967844,金凤市,江西省,230194,中国,国讯科技有限公司金融科技,田,桂荣,申通快递,Order
10,2025-03-17 04:33:28,2025-03-25 04:33:28,2025-03-22 04:33:28,227.97,浙大万朋信息有限公司生物科技,海南省巢湖市徐汇成都街E座 239900,鑫市,内蒙古自治区,548115,中国,浙大万朋信息有限公司生物科技,林,磊,顺丰速运,Order
11,2025-02-07 08:58:00,2025-02-21 08:58:00,2025-02-12 08:58:00,231.45,七喜传媒有限公司人工智能,澳门特别行政区磊市门头沟柳州街Z座 473892,丽华县,西藏自治区,358472,中国,七喜传媒有限公司人工智能,张,丹丹,韵达快递,Order
12,2024-09-04 06:21:57,2024-09-16 06:21:57,2024-09-06 06:21:57,446.46,浙大万朋信息有限公司生物科技,海南省巢湖市徐汇成都街E座 239900,鑫市,内蒙古自治区,548115,中国,浙大万朋信息有限公司生物科技,薛,洋,韵达快递,Order
13,2025-06-07 12:07:16,2025-06-20 12:07:16,2025-06-08 12:07:16,437.3,晖来计算机传媒有限公司云计算,广东省娟市孝南辽阳路I座 278094,郑州县,江苏省,370443,中国,晖来计算机传媒有限公司云计算,王,倩,韵达快递,Order
14,2024-12-04 17:38:15,2024-12-07 17:38:15,,243.29,巨奥传媒有限公司信息技术,重庆市燕市安次哈尔滨街x座 404214,辛集市,广东省,406351,中国,巨奥传媒有限公司信息技术,林,峰,申通快递,Order
15,2026-01-07 12:18:24,2026-01-15 12:18:24,2026-01-10 12:18:24,381.69,联软传媒有限公司区块链技术,台湾省深圳市牧野李街L座 325753,慧县,山东省,556597,中国,联软传媒有限公司区块链技术,赵,晨,圆通速递,Order
16,2025-10-24 00:13:41,2025-10-29 00:13:41,2025-10-28 00:13:41,372.13,MBP软件科技有限公司信息技术,安徽省瑞市西夏高路i座 571615,丽华县,宁夏回族自治区,300387,中国,MBP软件科技有限公司信息技术,王,斌,申通快递,Order
